"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","24","Verify status code returned is expected","","Sun Nov 30 03:18:14 UTC 2025","passed","Sun Nov 30 03:18:14 UTC 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","17","Verify amount of returned items is expected","","Sun Nov 30 03:18:14 UTC 2025","passed","Sun Nov 30 03:18:15 UTC 2025","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","575","Verify status code returned is expected","","Sun Nov 30 03:18:14 UTC 2025","passed","Sun Nov 30 03:18:14 UTC 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
