"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","604","Verify status code returned is expected","","Fri Oct 17 02:55:42 UTC 2025","passed","Fri Oct 17 02:55:43 UTC 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","27","Verify status code returned is expected","","Fri Oct 17 02:55:43 UTC 2025","passed","Fri Oct 17 02:55:43 UTC 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","21","Verify amount of returned items is expected","","Fri Oct 17 02:55:43 UTC 2025","passed","Fri Oct 17 02:55:43 UTC 2025","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
