"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 02:32:52 GMT 2023","Mon Jan 02 02:32:53 GMT 2023","541","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Mon Jan 02 02:32:53 GMT 2023","Mon Jan 02 02:32:53 GMT 2023","27","","Rest API functionality Scenarios","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Mon Jan 02 02:32:53 GMT 2023","Mon Jan 02 02:32:53 GMT 2023","28","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
