"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 02:30:26 GMT 2024","Sun Jul 07 02:30:26 GMT 2024","22","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Sun Jul 07 02:30:26 GMT 2024","Sun Jul 07 02:30:26 GMT 2024","19","","Rest API functionality Scenarios","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Sun Jul 07 02:30:26 GMT 2024","Sun Jul 07 02:30:26 GMT 2024","521","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
