"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 02:27:03 GMT 2023","Wed Apr 19 02:27:04 GMT 2023","498","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Wed Apr 19 02:27:04 GMT 2023","Wed Apr 19 02:27:04 GMT 2023","25","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Wed Apr 19 02:27:04 GMT 2023","Wed Apr 19 02:27:04 GMT 2023","19","","Rest API functionality Scenarios","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
