"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 29 02:13:56 GMT 2023","Fri Sep 29 02:13:56 GMT 2023","35","","Rest API functionality Scenarios","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Fri Sep 29 02:13:56 GMT 2023","Fri Sep 29 02:13:56 GMT 2023","27","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Fri Sep 29 02:13:55 GMT 2023","Fri Sep 29 02:13:56 GMT 2023","592","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
