"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","20","Verify amount of returned items is expected","","Wed Jun 17 06:54:58 UTC 2026","passed","Wed Jun 17 06:54:58 UTC 2026","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","505","Verify status code returned is expected","","Wed Jun 17 06:54:57 UTC 2026","passed","Wed Jun 17 06:54:58 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","24","Verify status code returned is expected","","Wed Jun 17 06:54:58 UTC 2026","passed","Wed Jun 17 06:54:58 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
