"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 11 02:40:16 GMT 2023","Tue Jul 11 02:40:17 GMT 2023","776","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Tue Jul 11 02:40:17 GMT 2023","Tue Jul 11 02:40:17 GMT 2023","38","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"failed","Tue Jul 11 02:40:17 GMT 2023","Tue Jul 11 02:40:17 GMT 2023","162","","Rest API functionality Scenarios","","Just a failing test","","Just a failing test","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Tue Jul 11 02:40:17 GMT 2023","Tue Jul 11 02:40:17 GMT 2023","40","","Rest API functionality Scenarios","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
