"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","26","Verify status code returned is expected","","Mon Apr 20 04:46:24 UTC 2026","passed","Mon Apr 20 04:46:25 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","18","Verify amount of returned items is expected","","Mon Apr 20 04:46:25 UTC 2026","passed","Mon Apr 20 04:46:25 UTC 2026","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","518","Verify status code returned is expected","","Mon Apr 20 04:46:24 UTC 2026","passed","Mon Apr 20 04:46:24 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
