"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","17","Verify amount of returned items is expected","","Mon May 11 05:45:12 UTC 2026","passed","Mon May 11 05:45:12 UTC 2026","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","21","Verify status code returned is expected","","Mon May 11 05:45:12 UTC 2026","passed","Mon May 11 05:45:12 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","485","Verify status code returned is expected","","Mon May 11 05:45:12 UTC 2026","passed","Mon May 11 05:45:12 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
