"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","488","Verify status code returned is expected","","Fri Nov 22 02:51:46 GMT 2024","passed","Fri Nov 22 02:51:47 GMT 2024","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","18","Verify amount of returned items is expected","","Fri Nov 22 02:51:47 GMT 2024","passed","Fri Nov 22 02:51:47 GMT 2024","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","29","Verify status code returned is expected","","Fri Nov 22 02:51:47 GMT 2024","passed","Fri Nov 22 02:51:47 GMT 2024","","Rest API functionality Scenarios","Verify status code returned is expected",""
