"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","31","Verify status code returned is expected","","Tue Aug 12 03:03:43 GMT 2025","passed","Tue Aug 12 03:03:43 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","25","Verify amount of returned items is expected","","Tue Aug 12 03:03:43 GMT 2025","passed","Tue Aug 12 03:03:43 GMT 2025","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","554","Verify status code returned is expected","","Tue Aug 12 03:03:42 GMT 2025","passed","Tue Aug 12 03:03:43 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
