"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Rest API functionality Scenarios","1","0","Verify amount of returned items is expected","0"
"0","","0","Rest API functionality Scenarios","2","0","Verify status code returned is expected","0"
