"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","591","Verify status code returned is expected","","Tue Jul 07 05:54:17 UTC 2026","passed","Tue Jul 07 05:54:17 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","25","Verify status code returned is expected","","Tue Jul 07 05:54:17 UTC 2026","passed","Tue Jul 07 05:54:17 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","21","Verify amount of returned items is expected","","Tue Jul 07 05:54:17 UTC 2026","passed","Tue Jul 07 05:54:17 UTC 2026","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
