"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","487","Verify status code returned is expected","","Mon Mar 10 02:27:33 GMT 2025","passed","Mon Mar 10 02:27:33 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","24","Verify amount of returned items is expected","","Mon Mar 10 02:27:33 GMT 2025","passed","Mon Mar 10 02:27:33 GMT 2025","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","36","Verify status code returned is expected","","Mon Mar 10 02:27:33 GMT 2025","passed","Mon Mar 10 02:27:33 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
