"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","20","Verify amount of returned items is expected","","Tue Mar 17 03:56:44 UTC 2026","passed","Tue Mar 17 03:56:44 UTC 2026","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","26","Verify status code returned is expected","","Tue Mar 17 03:56:44 UTC 2026","passed","Tue Mar 17 03:56:44 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","500","Verify status code returned is expected","","Tue Mar 17 03:56:43 UTC 2026","passed","Tue Mar 17 03:56:44 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
