"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","530","Verify status code returned is expected","","Mon Dec 23 02:43:46 GMT 2024","passed","Mon Dec 23 02:43:47 GMT 2024","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","26","Verify status code returned is expected","","Mon Dec 23 02:43:47 GMT 2024","passed","Mon Dec 23 02:43:47 GMT 2024","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","17","Verify amount of returned items is expected","","Mon Dec 23 02:43:47 GMT 2024","passed","Mon Dec 23 02:43:47 GMT 2024","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
