"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","26","Verify status code returned is expected","","Mon Feb 10 02:41:49 GMT 2025","passed","Mon Feb 10 02:41:49 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","22","Verify amount of returned items is expected","","Mon Feb 10 02:41:49 GMT 2025","passed","Mon Feb 10 02:41:49 GMT 2025","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","499","Verify status code returned is expected","","Mon Feb 10 02:41:49 GMT 2025","passed","Mon Feb 10 02:41:49 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
