"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 02:37:21 GMT 2023","Sat Jan 28 02:37:22 GMT 2023","724","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Sat Jan 28 02:37:22 GMT 2023","Sat Jan 28 02:37:22 GMT 2023","32","","Rest API functionality Scenarios","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
"passed","Sat Jan 28 02:37:22 GMT 2023","Sat Jan 28 02:37:22 GMT 2023","59","","Rest API functionality Scenarios","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Rest API is working as expected"
