"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","27","Verify amount of returned items is expected","","Sun Jun 29 03:21:52 GMT 2025","passed","Sun Jun 29 03:21:52 GMT 2025","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","27","Verify status code returned is expected","","Sun Jun 29 03:21:52 GMT 2025","passed","Sun Jun 29 03:21:52 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","505","Verify status code returned is expected","","Sun Jun 29 03:21:51 GMT 2025","passed","Sun Jun 29 03:21:52 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
