"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","526","Verify status code returned is expected","","Wed Jul 01 06:13:20 UTC 2026","passed","Wed Jul 01 06:13:21 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","31","Verify amount of returned items is expected","","Wed Jul 01 06:13:21 UTC 2026","passed","Wed Jul 01 06:13:21 UTC 2026","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","34","Verify status code returned is expected","","Wed Jul 01 06:13:21 UTC 2026","passed","Wed Jul 01 06:13:21 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
