"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","23","Verify amount of returned items is expected","","Wed Jan 15 02:38:40 GMT 2025","passed","Wed Jan 15 02:38:40 GMT 2025","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","509","Verify status code returned is expected","","Wed Jan 15 02:38:39 GMT 2025","passed","Wed Jan 15 02:38:40 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","29","Verify status code returned is expected","","Wed Jan 15 02:38:40 GMT 2025","passed","Wed Jan 15 02:38:40 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
