"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","544","Verify status code returned is expected","","Thu Jul 23 04:59:23 UTC 2026","passed","Thu Jul 23 04:59:23 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","27","Verify status code returned is expected","","Thu Jul 23 04:59:23 UTC 2026","passed","Thu Jul 23 04:59:23 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","24","Verify amount of returned items is expected","","Thu Jul 23 04:59:23 UTC 2026","passed","Thu Jul 23 04:59:23 UTC 2026","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
