"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","527","Verify status code returned is expected","","Tue Mar 18 02:52:56 GMT 2025","passed","Tue Mar 18 02:52:56 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","21","Verify amount of returned items is expected","","Tue Mar 18 02:52:56 GMT 2025","passed","Tue Mar 18 02:52:57 GMT 2025","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","29","Verify status code returned is expected","","Tue Mar 18 02:52:56 GMT 2025","passed","Tue Mar 18 02:52:56 GMT 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
