"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","31","Verify status code returned is expected","","Sat Sep 06 02:45:19 UTC 2025","passed","Sat Sep 06 02:45:19 UTC 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","581","Verify status code returned is expected","","Sat Sep 06 02:45:18 UTC 2025","passed","Sat Sep 06 02:45:19 UTC 2025","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","27","Verify amount of returned items is expected","","Sat Sep 06 02:45:19 UTC 2025","passed","Sat Sep 06 02:45:19 UTC 2025","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
