"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Rest API is working as expected","487","Verify status code returned is expected","","Sun Jun 28 06:03:47 UTC 2026","passed","Sun Jun 28 06:03:48 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","26","Verify amount of returned items is expected","","Sun Jun 28 06:03:48 UTC 2026","passed","Sun Jun 28 06:03:48 UTC 2026","","Rest API functionality Scenarios","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Rest API is working as expected","29","Verify status code returned is expected","","Sun Jun 28 06:03:48 UTC 2026","passed","Sun Jun 28 06:03:48 UTC 2026","","Rest API functionality Scenarios","Verify status code returned is expected",""
